anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1417,6793180.1,60,9816071.833333334,6,2025-07-01,2025-12-01,116568261.0,10399352.0,0.08921255160527787
gc_1418,4584662.0,29,4545473.166666667,6,2023-01-01,2023-06-01,0.0,0.0,
gc_1419,7120338.463414635,41,7771601.666666667,6,2024-01-01,2024-06-01,0.0,0.0,
gc_1420,16194252.051724138,58,25141555.5,6,2025-07-01,2025-12-01,280917989.0,57011914.385,0.20294860641694257
gc_1421,6582579.423728813,59,8788323.666666666,6,2025-07-01,2025-12-01,104038355.0,12385842.0,0.11905072893549691
gc_1422,3532699.9583333335,24,3490029.1666666665,6,2022-08-01,2023-01-01,,,
gc_1423,10871610.206896551,58,12541219.5,6,2025-07-01,2025-12-01,150000176.0,16812521.838,0.11208334740887237
gc_1424,8494330.137931034,58,12673163.0,6,2025-07-01,2025-12-01,144754091.0,24520522.0,0.16939432820589506
gc_1425,9310146.086206896,58,12175562.0,6,2025-07-01,2025-12-01,142621398.0,22010247.0,0.15432640058681799
gc_1426,6462549.731707317,41,8904392.833333334,6,2024-02-01,2024-07-01,0.0,0.0,
gc_1427,8118224.553571428,56,11100466.166666666,6,2025-07-01,2025-12-01,126535183.0,23535377.0,0.18599867990865435
gc_1428,13846177.464285715,56,23078684.5,6,2025-07-01,2025-12-01,261575001.0,9029687.817999996,0.034520454108686004
gc_1429,1365034.6363636365,11,1203068.8333333333,6,2021-10-01,2022-03-01,,,
gc_1430,5238430.517857143,56,6943509.666666667,6,2025-07-01,2025-12-01,79929524.0,7936535.660000001,0.09929416894813488
gc_1431,7219889.7272727275,55,9861479.666666666,6,2025-07-01,2025-12-01,116395929.0,15652993.0,0.13448058823431874
gc_1432,8043695.472727273,55,9803069.0,6,2025-07-01,2025-12-01,111850645.0,13016760.0,0.11637626229155854
gc_1433,2596576.311111111,45,2862064.8333333335,6,2024-09-01,2025-02-01,5238789.0,853596.0,0.16293765601172333
gc_1434,4208030.2727272725,55,7105818.0,6,2025-07-01,2025-12-01,78830413.0,11716120.181890002,0.14862436635832418
gc_1435,6133228.480769231,52,8652926.666666666,6,2025-04-01,2025-09-01,,,
gc_1436,10599550.4,55,15027519.0,6,2025-07-01,2025-12-01,170435932.0,28608288.0,0.1678536190361549
gc_1437,5674889.418181818,55,7648247.5,6,2025-07-01,2025-12-01,87739714.0,12403674.81817,0.141368990764775
gc_1438,7053035.703703703,54,9233741.0,6,2025-07-01,2025-12-01,106252373.0,14388902.0,0.1354219354705612
gc_1439,472123.95652173914,23,353177.0,6,2023-01-01,2023-06-01,,,
gc_1440,6113634.326923077,52,10614159.166666666,6,2025-07-01,2025-12-01,109874476.0,19471842.0,0.17721897486000296
gc_1441,5285815.653846154,52,8452068.666666666,6,2025-07-01,2025-12-01,93027607.0,19088274.0,0.2051893477169632
gc_1442,5389301.761904762,21,5238033.0,6,2022-12-01,2023-05-01,0.0,0.0,
gc_1443,7542468.69047619,42,8122164.0,6,2024-09-01,2025-02-01,15480575.0,-1838379.0,-0.11875392225417984
gc_1444,8674955.05882353,51,11285537.166666666,6,2025-07-01,2025-12-01,120194382.0,7673414.274999997,0.06384170497253355
gc_1445,6596722.2549019605,51,9603882.833333334,6,2025-07-01,2025-12-01,108956145.0,20231242.0,0.18568243213817817
gc_1446,6507354.803921568,51,9767206.666666666,6,2025-07-01,2025-12-01,109084415.0,9093735.544999998,0.0833642050974926
gc_1447,10623638.333333334,51,14822835.0,6,2025-07-01,2025-12-01,170581056.0,27822685.0,0.163105362649414
gc_1448,4348984.333333333,30,4952997.333333333,6,2023-10-01,2024-03-01,,,
gc_1449,6887463.625,48,9204131.5,6,2025-07-01,2025-12-01,106867810.0,22857303.0,0.2138838907618674
gc_1450,7762630.958333333,48,9987975.5,6,2025-07-01,2025-12-01,113787279.0,19014782.0,0.16710815274877958
gc_1451,4550505.787234043,47,6075528.0,6,2025-07-01,2025-12-01,68362481.0,10507723.0,0.15370599261896303
gc_1452,7985039.043478261,46,8841638.333333334,6,2025-07-01,2025-12-01,105957044.0,15259761.0,0.14401837219996436
gc_1453,7034879.666666667,45,8180915.166666667,6,2025-07-01,2025-12-01,94204847.0,8565994.083999999,0.09092944107217751
gc_1454,4863345.384615385,26,5069717.833333333,6,2023-12-01,2024-05-01,,,
gc_1455,3187058.4,10,3092409.8333333335,6,2022-08-01,2023-01-01,0.0,0.0,
gc_1456,6510879.25,44,8789621.833333334,6,2025-07-01,2025-12-01,99882343.0,17132852.0,0.17153033744913251
gc_1457,10372717.840909092,44,15775929.333333334,6,2025-07-01,2025-12-01,171596281.0,30417879.439999998,0.17726421145455942
gc_1458,6214709.318181818,44,8638397.166666666,6,2025-07-01,2025-12-01,96415655.0,20015921.0,0.2076003217527278
gc_1459,6138814.0227272725,44,7705281.166666667,6,2025-07-01,2025-12-01,87225632.0,7399395.960000001,0.0848305227527615
gc_1460,8640602.232558139,43,9460592.833333334,6,2025-07-01,2025-12-01,117931730.0,17989189.0,0.1525390071018207
gc_1461,11322294.023255814,43,16235243.833333334,6,2025-07-01,2025-12-01,182175648.0,28958533.659999996,0.15895941075505327
